IsCollision,A.X,A.Y,A.Pitch,A.Roll,A.Yaw,B.X,B.Y,B.Pitch,B.Roll,B.Yaw,C.X,C.Y,C.Pitch,C.Roll,C.Yaw
False,1.4432342052459717,-2.998263244633563,0.0037255284580045706,0.00013665246887904016,5.98303203131099e-05,-6.552867412567139,-12.999105215072632,0.0032865997193710066,0.00014396206920467568,6.0932194132462213e-05,21.402258276939392,-2.998164672870189,0.012704013777126434,8.907945831155462e-05,4.63136793028911e-05
False,1.5968279838562012,-2.998163757380098,0.0035393237203705627,0.00014655147663329961,6.242743928925463e-05,-6.403379440307617,-12.998758554458618,0.0031040905321611735,0.00010418681359848277,0.00035150369613795774,21.550163507461548,-2.997988586546853,0.012520312535000789,9.265022434144982e-05,4.868586457890434e-05
False,1.7456995248794556,-2.9980682373279706,0.0033990142436911767,0.00014590320682076962,6.480364295425514e-05,-6.2547526359558105,-12.994606971740723,0.0029379127972360775,-0.00038988681378781295,0.0038030794079354675,21.697348594665527,-2.9978140259627253,0.012355088245069113,9.251676534822563e-05,5.084470028901793e-05
False,1.9157215356826782,-2.997959594707936,0.003326058071528701,0.00013900737544409166,6.766340246528767e-05,-6.085277557373047,-12.986256122589111,0.002849340654344648,-0.0010668624562869043,0.010361316674472903,21.864604473114014,-2.997615051222965,0.012187480781799443,9.011131070907426e-05,5.312150532213414e-05
False,2.0831692218780518,-2.997853393666446,0.0033241508339708656,0.00012969592229514288,7.065921450202358e-05,-5.9184300899505615,-12.976747989654541,0.002849697707425338,-0.0015030878243232277,0.017058464242589604,22.027851581573486,-2.9974209596402943,0.012042523079895234,8.681860837556983e-05,5.5210206091746935e-05
False,2.2510664463043213,-2.9977478028740734,0.003358244786560551,0.0001200432539544173,7.377787783403334e-05,-5.746395826339722,-12.965886116027832,0.002893208959937368,-0.001775263127957498,0.023889469450102577,22.194318771362305,-2.9972216796595603,0.01191151211312091,8.329533104414435e-05,5.723594628176004e-05
False,2.4420676231384277,-2.9976272583007812,0.003419994964397475,0.0001099849988075888,7.742911836020092e-05,-5.560866117477417,-12.953006505966187,0.0029619929833340315,-0.0019467708195396317,0.031142247389662023,22.371530771255493,-2.9970108033157885,0.011788487539298299,7.982042466207477e-05,5.9302698752056876e-05
False,2.6242892742156982,-2.997511596651748,0.003489255564793534,0.00010181481665659527,8.099891274749098e-05,-5.379359006881714,-12.939196825027466,0.0030367373643889217,-0.0020516994527096785,0.03817694685686514,22.54250979423523,-2.9968066406436265,0.011683702530725077,7.692007150711273e-05,6.122549424392408e-05
False,2.8222177028656006,-2.9973846436478198,0.0035666224144594747,9.461282438996182e-05,8.494660603182952e-05,-5.176748514175415,-12.922479152679443,0.003120898961826013,-0.00211934328587034,0.04587952787304717,22.730578660964966,-2.99658203125,0.01158201624606536,7.43113032898792e-05,6.327294090220877e-05
False,3.0190227031707764,-2.9972592163830996,0.003624081418624452,8.902368879346953e-05,8.884675224412795e-05,-4.986130595207214,-12.905966758728027,0.0031988619852025193,-0.0021049624816244805,0.05261945567390243,22.904858350753784,-2.9963735963683575,0.011498689396791828,7.241170214214143e-05,6.511544288125556e-05
False,3.2179665565490723,-2.997130432166159,0.003661036509430017,8.472026426239917e-05,9.271178544250798e-05,-4.787444710731506,-12.889121055603027,0.0032764664801790077,-0.001913214429695401,0.05819941248997759,23.083759784698486,-2.996159362839535,0.011422275442913767,7.090626270766603e-05,6.695999940468914e-05
False,3.418632745742798,-2.997000732459128,0.0036752224868796183,8.263149342094915e-05,9.50531371797591e-05,-4.586384892463684,-12.874064922332764,0.003345012875351758,-0.0014455640868680617,0.06120909862367374,23.262011528015137,-2.995945129543543,0.011354565826228999,6.978558481876625e-05,6.875383771971732e-05
False,3.6241941452026367,-2.9968661500606686,0.0036544801653675555,7.905049295603309e-05,0.00010020889236716981,-4.379395365715027,-12.860862970352173,0.0034039022261986105,-0.0008127968946461544,0.06175837224666418,23.442753791809082,-2.9957278445363045,0.011292815367095204,6.895614925321058e-05,7.053140866676745e-05
False,3.842440605163574,-2.9967230225447565,0.003634571833946812,7.740042285404721e-05,0.00010359986686317523,-4.1585564613342285,-12.848477602005005,0.0034577846655966453,-0.00017097499419557315,0.060699148684021216,23.632697582244873,-2.9954995727166533,0.011236071280030466,6.835653841590091e-05,7.23009654696863e-05
False,4.067292213439941,-2.9965750123374164,0.0036300417912269374,7.620763975956454e-05,0.00010700226475707209,-3.930162012577057,-12.83974003791809,0.003486871627101363,0.0007062488171210937,0.05634664857690552,23.826240062713623,-2.995266418438405,0.011180640168390784,6.792098274512765e-05,7.418072875958799e-05
False,4.301492214202881,-2.9964196777436882,0.003646254436041919,7.500251522304219e-05,0.00011225709646825302,-3.6915746927261353,-12.832927227020264,0.0035215612970370684,0.001422041654821929,0.05055516150959627,24.025485515594482,-2.9950268557295203,0.011131762427048506,6.765033786989708e-05,7.596906511809306e-05
False,4.545229434967041,-2.9962564087472856,0.003661990247471487,7.438951374503853e-05,0.00011660509447546381,-3.442759394645691,-12.823167562484741,0.003557085896167693,0.0014246290718953308,0.04783944613074196,24.230458736419678,-2.9947799681685865,0.011087416717565511,6.747710877576084e-05,7.788479256500178e-05
False,4.790981769561768,-2.9960910035297275,0.0036735534649946517,7.398132005775619e-05,0.00012111502743245787,-3.183308407664299,-12.808053016662598,0.0035665031746619186,0.0007440243487100265,0.049885485600636346,24.44161605834961,-2.9945248416624963,0.011050939190044906,6.73787578156587e-05,7.979542477485779e-05
False,5.054555416107178,-2.995912780985236,0.003685355327968408,7.37293242015462e-05,0.00012561863867185586,-2.914418950676918,-12.787388801574707,0.0035705565301784553,-0.00028122974813462145,0.05601889361130177,24.65795135498047,-2.9942630007863045,0.011021374534565509,6.733653845039279e-05,8.16274950632439e-05
False,5.309873580932617,-2.9957394408993423,0.003704070888616825,7.356164199374585e-05,0.00013065772606578197,-2.6510696411132812,-12.763998985290527,0.0035876032592810324,-0.0011914979070884685,0.06361421097132829,24.86736822128296,-2.9940084838308394,0.01099622175935668,6.732072208206967e-05,8.34511742582274e-05
False,5.61373233795166,-2.9955291748046875,0.003701805931571058,7.346928204988965e-05,0.00013635199466026712,-2.3495951890945435,-12.734536170959473,0.0036116841598479465,-0.001984055102066732,0.07269149722985009,25.104233264923096,-2.9937213137745857,0.010968804548758393,6.73287638617337e-05,8.568364527593442e-05
False,5.8892083168029785,-2.9953384399414062,0.0036406515431870448,7.345347639675449e-05,0.00014092958587825653,-2.0661898851394653,-12.704454183578491,0.003632545417030392,-0.0025209476454336826,0.08121063878151656,25.324284553527832,-2.9934530640020967,0.010947941642286968,6.734995362557615e-05,8.754399564324297e-05
False,6.162164211273193,-2.9951480105519295,0.003571986948013917,7.34667676138006e-05,0.00014522902463374874,-1.784134864807129,-12.672587871551514,0.003649473234428062,-0.002882606033934336,0.08933254964283532,25.540900707244873,-2.99318908713758,0.010928272746994235,6.737490495111052e-05,8.94029005932871e-05
False,6.437814712524414,-2.9949545287527144,0.0035246609221993765,7.347440375192533e-05,0.00014956431206209915,-1.4983797073364258,-12.637498617172241,0.003658890489905596,-0.003229348457098571,0.09795500831265025,25.758195877075195,-2.9929244997911155,0.010909795351882825,6.739866927183188e-05,9.118830186574081e-05
False,6.7230963706970215,-2.994753113016486,0.0034946198873817354,7.34711813044866e-05,0.00015382583571676645,-1.2017912864685059,-12.598412990570068,0.0036678315641002403,-0.0035244275191059467,0.10701267297658955,25.9815354347229,-2.992651672568172,0.010891078315006774,6.741739071752436e-05,9.306383717295596e-05
False,7.013491630554199,-2.99454772984609,0.0034778118066708706,7.346188335326081e-05,0.00015844300224612996,-0.8991453647613525,-12.555894613265991,0.0036752225161435243,-0.0037609160113791277,0.11619130115242399,26.20727014541626,-2.9923751833848655,0.010871646921835782,6.744130803160235e-05,9.498571703700239e-05
False,7.32709264755249,-2.9943222044967115,0.0034772158122126015,7.343653179542063e-05,0.0001633862875717264,-0.5629329681396484,-12.50564193725586,0.003681898113627521,-0.003961717475161163,0.1262156337471341,26.45562982559204,-2.9920703126117587,0.010853051895747243,6.746103505303075e-05,9.689233700483156e-05
False,7.689985752105713,-2.9940612795762718,0.0034712553361960128,7.339779366594522e-05,0.0001694393002398233,-0.19204163551330566,-12.446669816970825,0.0036869045235431454,-0.004127366869547405,0.13698792411927008,26.72683811187744,-2.9917373657226562,0.010831236206580065,6.748802437435405e-05,9.907035537686982e-05
False,8.021073341369629,-2.993820800911635,0.003449320775044456,7.33601622579709e-05,0.00017463583743813446,0.16537714004516602,-12.38620114326477,0.0036880968108568943,-0.004273308023402318,0.1472470076858339,26.985663890838623,-2.991418152116239,0.010809897379807164,6.750455673918566e-05,0.00010120935489165908
False,8.362436294555664,-2.9935714723542333,0.0034104583813782882,7.331708884829259e-05,0.00018017206233580742,0.5138707160949707,-12.323657274246216,0.003686904725234511,-0.004426705534215218,0.15729360910202939,27.23583984375,-2.9911102298647165,0.010790228496269406,6.751771067556065e-05,0.00010315551174504331
False,8.699075698852539,-2.9933242797851562,0.003289937547378042,7.332473874268865e-05,0.0001847191708334343,0.8692283630371094,-12.256291389465332,0.00368463995802679,-0.00458489756909353,0.16753406257818435,27.49563455581665,-2.9907885743305087,0.01077067789814643,6.753008480634782e-05,0.00010508846198501397
False,9.026426315307617,-2.9930831911042333,0.003090977384284289,7.3382089727764e-05,0.00018828398793425003,1.2172927856445312,-12.186911582946777,0.0036772490181206465,-0.0047281753248667934,0.17745099235297457,27.734731197357178,-2.990493164397776,0.010751127302881365,6.754125986835287e-05,0.00010699081681247926
False,9.350346565246582,-2.9928427124395967,0.0028247832875428827,7.348447126812965e-05,0.00019092971764120699,1.5615715980529785,-12.1149742603302,0.0032514332365699756,-0.004854942433120223,0.18718369677436045,27.97863006591797,-2.990190429612994,0.010734198795723324,6.754968855513148e-05,0.00010864433337653871
