IsCollision,A.X,A.Y,A.Pitch,A.Roll,A.Yaw,B.X,B.Y,B.Pitch,B.Roll,B.Yaw,C.X,C.Y,C.Pitch,C.Roll,C.Yaw
False,1.4322853088378906,-2.9986315917922184,0.0037246938421777983,0.00012676563524621892,5.20625636864373e-05,-6.567897796630859,10.000480651855469,0.0032751560294025095,0.00013176745175483184,5.2081357959706694e-05,21.38101077079773,-2.998118286137469,0.012892483063842695,9.198449911752198e-05,4.62063563541464e-05
False,1.5842629671096802,-2.998535461490974,0.0035393236365341644,0.00013636397874660082,5.461224939981726e-05,-6.415926933288574,10.000776290893555,0.003088235608616,9.933337452010738e-05,0.0002984209154889316,21.531203627586365,-2.9979312133509666,0.012703060684308983,9.699155954200787e-05,4.867013987903371e-05
False,1.7316248416900635,-2.998442688025534,0.0033977030742348858,0.0001365231779320283,5.695067733428022e-05,-6.268763303756714,10.003828048706055,0.0029261111006153844,-0.00024607605368419063,0.0028335032633086442,21.67675292491913,-2.997750549344346,0.012537597940724158,9.719522082346892e-05,5.083524444544462e-05
False,1.8846062421798706,-2.9983483887044713,0.0033248660561211816,0.00013173680685656737,5.950370937079727e-05,-6.116615533828735,10.004829406738281,0.0027823446485173682,-0.00015552865416575614,0.003406073787037642,21.827194809913635,-2.9975646974053234,0.01238393691752717,9.488827441744979e-05,5.290804140563428e-05
False,2.043092966079712,-2.9982507324311882,0.0033131835306981212,0.0001253299771075469,6.199563276237295e-05,-5.960800647735596,10.004205703735352,0.0025916096432194754,8.01940367984241e-05,0.0024542779775265674,21.981804132461548,-2.997373962542042,0.012242793760297657,9.13306311054943e-05,5.49092926317998e-05
False,2.2066242694854736,-2.998149108956568,0.0033426284293993714,0.00011637348169122566,6.534392896573934e-05,-5.8027989864349365,10.00761604309082,0.002363085496763835,-0.0002759034761825647,0.004956423297054865,22.139697313308716,-2.997178344754502,0.012114404454689058,8.735295316428859e-05,5.685153340604829e-05
False,2.376084566116333,-2.998042602557689,0.0033950803902363185,0.00010843939372894614,6.857936018536338e-05,-5.642006874084473,10.013715744018555,0.002175569510678202,-0.0007584682819761541,0.00949475012223259,22.301367044448853,-2.996978149516508,0.01199769840449928,8.344272330260046e-05,5.8758042267651946e-05
False,2.551889181137085,-2.9979324340820312,0.0034613609169570378,0.00010120453108074752,7.201992938563955e-05,-5.47805118560791,10.02109146118164,0.0020352597664293876,-0.0011052112526693132,0.014526541286176078,22.466901779174805,-2.9967727661132812,0.011891245196829648,7.989397019475989e-05,6.0640667582932174e-05
False,2.733417272567749,-2.9978189086541533,0.003531455680005841,9.496481942866408e-05,7.563013322961918e-05,-5.312049627304077,10.023616790771484,0.0018727777989705683,-0.0006194513737565151,0.014803335846877118,22.635476112365723,-2.996563720749691,0.01179528208588695,7.683266610400645e-05,6.249832108888662e-05
False,2.9108190536499023,-2.997707214439288,0.003575920771763262,9.030182991600845e-05,7.891118436017122e-05,-5.152925252914429,10.0234375,0.0017328261553805496,-2.663161535110553e-05,0.012663947144061537,22.798105478286743,-2.9963613892905414,0.011712669512890924,7.442639173490223e-05,6.424173535910398e-05
