IsCrash,A.X,A.Y,A.Pitch,A.Roll,A.Yaw,B.X,B.Y,B.Pitch,B.Roll,B.Yaw,C.X,C.Y,C.Pitch,C.Roll,C.Yaw
False,1.4280645847320557,-3.0017120360862464,-0.00041759013626681025,0.00014266169674969305,4.664773523553217e-05,8.590718269348145,-15.294104099273682,0.004113197323002613,0.00016685109438109423,1.477663790801907,21.429616689682007,-3.010564574971795,0.0034829380671571554,0.0007717622607447682,4.6583531319519276e-05
False,1.733842134475708,-3.002074890071526,-0.0007702112171873357,0.0001420205244207588,5.111728916560091e-05,8.6193208694458,-14.990074157714844,0.0037736888786204805,0.00017290881018181892,1.4776688107284837,21.735388159751892,-3.0128158563748,0.003130316275665292,0.0007690305825101692,5.10411153071676e-05
False,2.0455262660980225,-3.00244476320222,-0.0010598895878108539,0.00014149386509082642,5.522728720166512e-05,8.648588180541992,-14.678987979888916,0.0035392040583925137,0.00016675217399802185,1.4776733828122501,22.047065496444702,-3.015109557658434,0.002840518792823909,0.0007667800650850687,5.5142593852311274e-05
False,2.37178635597229,-3.002829589881003,-0.001301169210702743,0.00014106961126914472,5.918342660388986e-05,8.679404258728027,-14.351471900939941,0.003369211930514196,0.00015834628785052108,1.4776785738671978,22.37331771850586,-3.0175100695341825,0.002599358365068711,0.0007648962878504033,5.909196901977621e-05
False,2.712780714035034,-3.003230590838939,-0.0014998910678608618,0.00014073013198072083,6.303509174853091e-05,8.711827278137207,-14.006843090057373,0.0032398696746202974,0.00015122918603014405,1.477682704626387,22.714301586151123,-3.0200170893222094,0.0024002791035439355,0.0007633399034869007,6.293805045027579e-05
False,3.068187713623047,-3.0036483763251454,-0.001663923132591195,0.00014045908117255924,6.681090950219261e-05,8.74586296081543,-13.645054817199707,0.003136991976406088,0.0001462748101850893,1.477688183488998,23.06969952583313,-3.0226287841796875,0.0022362470497057866,0.0007620535608556147,6.670870321603846e-05
False,3.4357540607452393,-3.0040795896202326,-0.0017993449528572315,0.0001402263943728576,7.051153703936077e-05,8.781316757202148,-13.268152952194214,0.003051281073959447,0.0001432355397410747,1.477692895461917,23.43725824356079,-3.025328367948532,0.002100944174485974,0.0007609867326838398,7.040552986326881e-05
False,3.815735101699829,-3.0045227049849927,-0.0019125935957395425,0.00014004197156033052,7.415598131150906e-05,8.818232536315918,-12.875715255737305,0.002976774990387473,0.00014153538905286564,1.4776971341045784,23.830632209777832,-3.028215941041708,0.0019842382051720752,0.000760075480023436,7.41703023019967e-05
False,4.22168493270874,-3.004994506947696,-0.0020112989360508197,0.00013987340621410198,7.787699817679579e-05,8.857946395874023,-12.453494787216187,0.002907753003558213,0.00014066247742237242,1.477702524310013,24.223159313201904,-3.0310958847403526,0.0018889904801802026,0.0007593265904622555,7.776278272166634e-05
False,4.625261306762695,-3.005462646484375,-0.002093314946492415,0.00013973378988399918,8.142415326068021e-05,8.89769458770752,-12.03089952468872,0.0028464794520124143,0.00014026635470039525,1.4777072793374038,24.626720905303955,-3.0340560898184776,0.0018070935469099037,0.0007586728204226405,8.130684220856549e-05
False,5.040064811706543,-3.0059429928660393,-0.002165078941604676,0.00013961194119364777,8.492940032701729e-05,8.93880558013916,-11.593784093856812,0.0027887818878930535,0.00014010467717915192,1.4777117131710185,25.041513442993164,-3.0370968617498875,0.001734971916487018,0.0007581010341843775,8.481065162963129e-05
False,5.4653730392456055,-3.0064334105700254,-0.002229094683799551,0.00013949734063708184,8.839134839087205e-05,8.981210708618164,-11.142884492874146,0.0027357334628886035,0.00014003641329394362,1.4777161480053465,25.466811180114746,-3.040213316679001,0.0016710756535443607,0.0007575945924095368,8.827004685248595e-05
False,5.900838375091553,-3.0069348141551018,-0.0022871493537730218,0.00013939600219020228,9.181003555523621e-05,9.024877548217773,-10.678565680980682,0.00268137440539479,0.00013999143763599836,1.4777215684067992,25.902265548706055,-3.0434024035930634,0.001614808955427574,0.0007571484471107467,9.156999569456119e-05
False,6.34639835357666,-3.0074456785805523,-0.002340912850991618,0.00013930524760471244,9.5186761718565e-05,9.06979751586914,-10.20088805258274,0.002630472332631448,0.00013994793705110508,1.4777261771581947,26.347817420959473,-3.046664122492075,0.001559734185469509,0.0007567035020597354,9.506255988774071e-05
False,6.817774295806885,-3.007984008640051,-0.0023903846655027256,0.0001392171399971638,9.85215091382586e-05,9.117566108703613,-9.692866832017899,0.0025812389084079058,0.0001398908590999654,1.4777311255692738,26.81917715072632,-3.0501123033463955,0.0015101431114140035,0.0007563096262949911,9.839719708931407e-05
False,7.283061504364014,-3.008513793349266,-0.0024367574064148786,0.00013912579395439163,0.00010181563902399484,9.164953231811523,-9.188891649246216,0.0025306937586130874,0.00013983311170495403,1.477735569282045,27.284445762634277,-3.053515624254942,0.0014618636387893542,0.00075592098878995,0.0001018022740157663
False,7.7574896812438965,-3.009053344838321,-0.002480983764399392,0.00013905334210682723,0.00010506600421509187,9.2135009765625,-8.672597646713257,0.002486347871209902,0.0001397712430499622,1.47774019042944,27.758866786956787,-3.056984554976225,0.001419544300572853,0.0007555802893329302,0.0001049376162232268
False,8.240148544311523,-3.0095999147742987,-0.0025224684483810002,0.00013897798216514978,0.00010826692908319033,9.263104438781738,-8.144993305206299,0.002439975869549746,0.00013970205532732073,1.477744817415595,28.241511344909668,-3.0605114735662937,0.001377701779240242,0.0007552482584923273,0.00010813600855704297
