IsCollision,A.X,A.Y,A.Pitch,A.Roll,A.Yaw,B.X,B.Y,B.Pitch,B.Roll,B.Yaw,C.X,C.Y,C.Pitch,C.Roll,C.Yaw
False,1.4435306787490845,-3.0001754760742188,0.003498434668485468,9.829170854040018e-05,4.699931472689516e-05,-6.609948635101318,-13.23763656616211,0.0035787817901953216,8.251615575375245e-05,4.717977349466265e-05,21.45062005519867,-3.0005001830868423,0.003651022769263396,0.00012178651459981528,4.7195678017813705e-05
False,1.6309973001480103,-3.000214843748836,0.003285169209702477,0.0001004307608782506,4.9905072021991775e-05,-6.429611682891846,-13.234842538833618,0.0033581255144476204,-0.0002700444669042453,0.0023820289237653797,21.631054639816284,-3.0005758666666225,0.003440141428346306,0.00012363079662463448,4.995798737408368e-05
False,1.8190267086029053,-3.0002520752022974,0.0031722780596335994,9.952768016572149e-05,5.2968018127644776e-05,-6.242444276809692,-13.223583936691284,0.003191709207674126,-0.0013491576594189042,0.011453060575111761,21.818342208862305,-3.000653991708532,0.003259181885919852,0.00012268957552600087,5.266859401828175e-05
False,2.0145952701568604,-3.000291748030577,0.003156661710769643,9.740257964762554e-05,5.6300756663060374e-05,-6.048076152801514,-13.207142353057861,0.0031802651866667843,-0.0022754048712756063,0.023486673336647453,22.01143789291382,-3.0007345580961555,0.003105997873695441,0.00012045803843948023,5.534276110138445e-05
False,2.230282783508301,-3.0003363036958035,0.003204583717489844,9.453610261796295e-05,6.052958598794638e-05,-5.833636999130249,-13.186320781707764,0.0032567974525504564,-0.0028495817273064203,0.03680349507571689,22.22176742553711,-3.000820922839921,0.0029689072191591164,0.00011769364948173063,5.814418998021899e-05
False,2.4467904567718506,-3.000379333476303,0.0032802815997896246,9.201981688608292e-05,6.479315053143878e-05,-5.618277549743652,-13.162817239761353,0.0033609863114731496,-0.003152649346331349,0.04997739062038417,22.429855823516846,-3.000906677218154,0.0028562544053068383,0.00011516389568948777,6.08212431563935e-05
False,2.6711158752441406,-3.0004223632859066,0.0033587213055324286,8.984927831687234e-05,6.928913590742512e-05,-5.394981622695923,-13.135779857635498,0.003472923974402825,-0.003322558559299801,0.06340271732314366,22.642228841781616,-3.0009945678757504,0.002759456259116778,0.00011298666305427967,6.347113807633967e-05
False,2.9043850898742676,-3.0004656982200686,0.003399014312097407,8.809800423107614e-05,7.382028421128377e-05,-5.151801109313965,-13.103310585021973,0.0035876032377487157,-0.003434412078925407,0.07774998151387415,22.86972165107727,-3.00108734134119,0.00267159930154136,0.00011116514907286839,6.622933901201184e-05
False,3.157886505126953,-3.0005111694335938,0.0034264324521732924,8.679351465807962e-05,7.829505340705853e-05,-4.908359885215759,-13.067709922790527,0.0036902423764621542,-0.0035222964795768186,0.09182936990258034,23.093708515167236,-3.0011773681035265,0.0025973317757317293,0.00010984829687810489,6.887356444510401e-05
False,3.4104878902435303,-3.0005554198869504,0.0033744570187043046,8.568343496784772e-05,8.308185647912457e-05,-4.653861403465271,-13.02723741531372,0.0037832256326639836,-0.0036149748014831723,0.10625048158811905,23.32412838935852,-3.0012692260788754,0.002530693892529796,0.00010886167949826585,7.152574883187101e-05
False,3.670475959777832,-3.000599975581281,0.0032619239382655017,8.493373078718945e-05,8.710966885502595e-05,-4.389362812042236,-12.981713771820068,0.003865241848180383,-0.0037225668382878437,0.12092296054114134,23.559868097305298,-3.0013647460145876,0.0024706123838014005,0.00010816126109963059,7.41746933170488e-05
False,3.950314521789551,-3.0006463623140007,0.0031898020670348827,8.439253120123712e-05,9.147817215622184e-05,-4.102200269699097,-12.92836046218872,0.003939865736993874,-0.0038557241509904177,0.13650222641391851,23.81186032295227,-3.0014660643646494,0.002413749673480184,0.00010766236735732045,7.693951924263992e-05
False,4.224814414978027,-3.0006912231328897,0.0031628604952152247,8.405243378729667e-05,9.591011118887066e-05,-3.818693220615387,-12.871632099151611,0.003999470540649781,-0.0040144480142062355,0.15162492381631396,24.056996822357178,-3.001563415513374,0.002363919955147314,0.00010734297090202412,7.956717363890438e-05
False,4.509178161621094,-3.000736389134545,0.0030889507169443962,8.380585994209552e-05,0.00010018749185513005,-3.5227819681167603,-12.808063983917236,0.004049659229675383,-0.004209392910888404,0.1672336372562124,24.30935764312744,-3.0016622924013063,0.0023174284754629414,0.00010713862758189462,8.22133944453152e-05
False,4.802413463592529,-3.0007815551362,0.002989649521071331,8.362533446803306e-05,0.00010426403913646421,-3.2149063050746918,-12.737205743789673,0.004093170060858991,-0.004436825403303954,0.18330526570886607,24.568498611450195,-3.001763000502251,0.0022752284051447942,0.00010700721440516823,8.476435562388684e-05
False,5.113850116729736,-3.0008288574172184,0.0029091832272349757,8.349384027341188e-05,0.00010852484039829751,-2.8852148428559303,-12.656003475189209,0.0041292903943534985,-0.004694619138280676,0.2003364068936874,24.842512130737305,-3.0018688964191824,0.0022307634733837118,0.0001069157501951606,8.762239814636272e-05
False,5.417466163635254,-3.000872802687809,0.002889752177060466,8.3429527721876e-05,0.00011120479893975503,-2.5618988275527954,-12.571025371551514,0.004156828139455372,-0.0049540122226556715,0.21686882131863236,25.108083248138428,-3.001971435500309,0.002193808393744068,0.00010686246533355173,9.012779535969767e-05
False,5.731561183929443,-3.0009176635649055,0.002918124045232549,8.336631227114478e-05,0.00011766986970323216,-2.22633820772171,-12.477238655090332,0.004179239800383617,-0.0052261869391570575,0.2338587102450188,25.380759239196777,-3.002075500553474,0.0021567341011069314,0.00010682247545514463,9.274602342280327e-05
False,6.066576957702637,-3.000963745114859,0.002979397655378445,8.333915702562184e-05,0.0001230326417286667,-1.8679808378219604,-12.370786190032959,0.00419747902348298,-0.0055170043394433,0.2518234429182727,25.668989181518555,-3.00218475330621,0.0021183488547526063,0.00010679310145366806,9.557104792712678e-05
False,6.397725582122803,-3.0010083008091897,0.003043413037698355,8.330665393581223e-05,0.00012849055829827766,-1.5138617753982544,-12.259204149246216,0.004210829957379836,-0.005801961712700836,0.26940251929670844,25.951130390167236,-3.0022906493395567,0.002084255269111217,0.00010676299791389955,9.817554399092384e-05
False,6.733578205108643,-3.0010519408388063,0.003040194404537579,8.32395093967986e-05,0.00013351738849048334,-1.154494047164917,-12.139462947845459,0.0042202472089131835,-0.006087453597817671,0.2870755279190436,26.23504400253296,-3.0023953246418387,0.0020515915028264755,0.00010673725153184051,0.00010074538643501281
False,7.081858158111572,-3.0010961913503706,0.0029957292166722053,8.316073066452267e-05,0.0001385570294652771,-0.7812206745147705,-12.008125066757202,0.004227519339693743,-0.006380401946335692,0.3052640138814962,26.52767324447632,-3.002502746414393,0.002019762669301015,0.00010671135372796245,0.00010334244252356638
False,7.449784755706787,-3.001141357352026,0.0029604433482328,8.308425310032487e-05,0.00014379645918613385,-0.3887350559234619,-11.86240839958191,0.003916620659416557,-0.006662694247654868,0.32418557947145116,26.83486795425415,-3.0026150511112064,0.0019886489823318504,0.00010667636033011231,0.00010591152234540742
