IsCrash,A.X,A.Y,A.Pitch,A.Roll,A.Yaw,B.X,B.Y,B.Pitch,B.Roll,B.Yaw,C.X,C.Y,C.Pitch,C.Roll,C.Yaw
True,31.727399826049805,1.3100242614746094,0.0026994929340113842,-0.08490799492845696,1.0632242379699706,31.173778533935547,-7.475273132324219,0.010803698293474695,0.0029121097615018385,-0.2352612795952759,29.857147216796875,-0.04376739263534546,0.0005319117912647659,0.00022301831161276994,0.00019266630049444676
True,32.22479248046875,1.8503538370132446,0.0016344761690935473,-0.08538151014787068,1.1753840928637131,32.112548828125,-7.706264495849609,0.008392691372680498,-0.0008458197198741084,-0.231273473266745,30.52882194519043,-0.04471221938729286,0.0005195140805056568,0.00022300145127139253,0.00019426213130636599
True,32.5854377746582,2.456860065460205,0.0010609602654990172,-0.08234872144860467,1.2346866603479087,33.06291198730469,-7.936061859130859,0.0056566000909117654,-0.0022216087581860213,-0.23325492707602682,31.20303726196289,-0.045660704374313354,0.0005084275719916081,0.00022299000191185726,0.00019570738121877117
True,32.850730895996094,3.1059842109680176,0.0006324062723359755,-0.07219671555186255,1.2524304616893966,34.020790100097656,-8.168286323547363,0.004382849001690233,-0.0019840547463280673,-0.23617742228286892,31.880287170410156,-0.04661163315176964,0.0004961490065705928,0.00022296598559253336,0.00019736290133404578
True,33.085548400878906,3.789768934249878,0.000288368600725601,-0.054178300937120887,1.2548552417805696,35.02444839477539,-8.413910865783691,0.004004715654000021,-0.0011195925419761092,-0.23932578033629842,32.576995849609375,-0.04758971929550171,0.00048446656178671987,0.00022294883917514218,0.0001988682823108636
True,33.30705642700195,4.462630271911621,3.361618929665105e-05,-0.03569275130428076,1.2550348338775015,36.02363586425781,-8.661246299743652,0.0037983651302810244,-0.0002535329441581027,-0.2423826150707702,33.258113861083984,-0.04854400455951691,0.0004733800742605293,0.00022293510030960029,0.0002003847348041396
True,33.52737045288086,5.138650894165039,-0.00016188598454468817,-0.021000622723784522,1.2550423494125467,37.04314041137695,-8.916641235351562,0.00368082509678312,0.00042147786058395817,-0.24540535456222468,33.94082260131836,-0.049499206244945526,0.00046336651633989667,0.00022291990523029995,0.0002017527898970219
True,33.75403594970703,5.835574626922607,-0.0003162619678941395,-0.01085131588571667,1.255040455474089,38.1120719909668,-9.187711715698242,0.003615617341638765,0.0008875169966159571,-0.24847540869082244,34.64405822753906,-0.05048278719186783,0.00045287608224411734,0.0002229059484818539,0.00020320874403877254
True,33.97547912597656,6.515970230102539,-0.0004314185693594306,-0.004963598669270792,1.2550400271109556,39.17497253417969,-9.456220626831055,0.003580688997764383,0.0007061443144922384,-0.24817606454861665,35.33052062988281,-0.05144195258617401,0.0004428624930786588,0.00022288952221543673,0.00020459832145028418
True,34.19816589355469,7.199254989624023,-0.0005214213046391923,-0.0017885785119504173,1.2550414348238423,40.26279067993164,-9.727039337158203,0.0035662648817633555,0.00015237471236904677,-0.2445775838079701,36.02012634277344,-0.05240417271852493,0.00043284893199231687,0.0002228719493457529,0.00020599873996342396
True,34.42176055908203,7.884415149688721,-0.0005911587969997127,-0.0002806970992625258,1.2550427086892668,41.37440872192383,-9.999781608581543,0.003561615979645198,-0.0004410195233985873,-0.24032774427007836,36.73019027709961,-0.053393859416246414,0.0004223584915744656,0.0002228568984357305,0.0002075142553458522
True,34.65184020996094,8.588809967041016,-0.0006471871533036544,0.00031836109949921136,1.2550426858468082,42.5392951965332,-10.280756950378418,0.0035614961709229866,-0.0009768470833205478,-0.235893010743888,37.42384338378906,-0.05436065420508385,0.00041449072605870567,0.00022285067155349502,0.00020865270475952044
True,34.87660598754883,9.276529312133789,-0.0006897449176282346,0.0004561902694706988,1.2550426704294682,43.69834899902344,-10.555315971374512,0.003562569344270124,-0.0013715276078063291,-0.23161913443089102,38.11940383911133,-0.055328063666820526,0.0004044771006980205,0.0002228300727635935,0.00021011202926812114
True,35.102054595947266,9.96607780456543,-0.0007233619326806921,0.00041578791530346717,1.2550426802912658,44.882118225097656,-10.830648422241211,0.0035636424203963897,-0.001639441366115829,-0.22740280956351971,38.81743621826172,-0.056300047785043716,0.00039660929972839247,0.00022281862833693533,0.00021131313836284175
True,35.33371353149414,10.674525260925293,-0.0007505416311574173,0.0003234875399055153,1.255042702582851,46.12091827392578,-11.113348960876465,0.0035639997440403367,-0.0018168079766189105,-0.2230735911437636,39.53528594970703,-0.057295531034469604,0.00038874147147288396,0.00022281421317920375,0.00021249154792469448
True,35.55968475341797,11.36550235748291,-0.0007717609098053151,0.00023927961605236825,1.255042912825115,47.35127639770508,-11.38868522644043,0.0035632846782558394,-0.0019302586279233997,-0.21881253825916272,40.23611831665039,-0.05826812610030174,0.0003806352496202828,0.00022280729696177093,0.00021370940982941788
True,35.78584671020508,12.0570650100708,-0.0007888078307919006,0.00017729006935380843,1.2550423267679127,48.604515075683594,-11.663628578186035,0.0035614967681146703,-0.0020122839967226963,-0.21449931516139958,40.938236236572266,-0.05924072116613388,0.0003728866583371043,0.00022279746595043712,0.0002149064145529598
True,36.01788330078125,12.76659107208252,-0.0008031129280802551,0.00013677411846267913,1.2550424854525646,49.91298294067383,-11.944808959960938,0.0035583969734423156,-0.0020815257358233075,-0.21002248311341154,41.6593017578125,-0.06024017184972763,0.00036513806651503283,0.00022277832958137676,0.00021611757667131207
True,36.24370574951172,13.457131385803223,-0.0008138417590490123,0.00011560716914711498,1.2550424961852145,51.20846176147461,-12.217333793640137,0.0035543437437079,-0.002143844781816248,-0.205616628433177,42.361778259277344,-0.06121215596795082,0.00035738944203508405,0.00022276844301102744,0.00021735202365673434
True,36.47517776489258,14.164939880371094,-0.0008229016550683817,0.00010365420648258063,1.2550425034806711,52.55879592895508,-12.495241165161133,0.003549337236581865,-0.0022082932849007393,-0.20104980792168745,43.08253860473633,-0.06220763921737671,0.00035142898856239794,0.00022276123882490514,0.00021830111817557255
True,36.70551300048828,14.869280815124512,-0.0008318423810997103,9.778192142219377e-05,1.2550425086944064,53.925048828125,-12.77007007598877,0.0035432573015234427,-0.0022738067120574718,-0.19645690257216172,43.80045700073242,-0.06319884955883026,0.0003434419409186998,0.0002227522038153427,0.00021957622604150905
