IsCrash,A.X,A.Y,A.Pitch,A.Roll,A.Yaw,B.X,B.Y,B.Pitch,B.Roll,B.Yaw,C.X,C.Y,C.Pitch,C.Roll,C.Yaw
False,2.028923511505127,-3.0017993163783103,-0.0007292032179638403,0.00013472284921005494,5.4839318666162436e-05,20.16329002380371,16.06545066833496,0.003303050836280116,0.00014881703632153086,-1.3660360434559755,22.030510187149048,-3.0110922241583467,0.0028631687013318204,0.0005908488301023429,5.497579136990387e-05
False,2.3579771518707275,-3.0020867919083685,-0.0009741782363186559,0.00013436980165557698,5.884431890028489e-05,20.229249954223633,15.74666976928711,0.002981662512627015,0.0001422985230171943,-1.3660316452126335,22.35956048965454,-3.012880858965218,0.0026181934244019853,0.0005894033972823847,5.897559311101305e-05
False,2.688920021057129,-3.0023733519483358,-0.0011692046653730905,0.00013409704485297264,6.259798198576935e-05,20.295169830322266,15.428075790405273,0.0027159451774650912,0.00013695218494417296,-1.366027695706659,22.703725576400757,-3.014750976115465,0.0024164911715344435,0.0005882031125888211,6.286949545795138e-05
False,3.0462543964385986,-3.002681884681806,-0.0013358592898433345,0.00013386491181948022,6.641110816496452e-05,20.365869522094727,15.086420059204102,0.002486228812409814,0.00013301975694407183,-1.3660234712708597,23.04782462120056,-3.016619872301817,0.0022565122296546317,0.0005872612170524607,6.65350477451048e-05
False,3.4176113605499268,-3.0030020140111446,-0.0014737842331364556,0.00013367628421280149,7.016325973108902e-05,20.438817977905273,14.733888626098633,0.0022987127844399787,0.00013057427576813622,-1.3660189975323371,23.419177055358887,-3.0186343379318714,0.0021188256009378402,0.0005864506309518399,7.028517433144652e-05
False,3.801896333694458,-3.0033319091890007,-0.0015882252604568917,0.00013351967956393303,7.385934315292764e-05,20.513771057128906,14.371660232543945,0.0021468398421011616,0.00012918716918197765,-1.3660154946567868,23.803459405899048,-3.0207171626389027,0.0020036694669912005,0.0005857648538659589,7.39784098715013e-05
False,4.1986236572265625,-3.0036703490186483,-0.0016852616291547695,0.00013338738360652835,7.750721983988072e-05,20.590621948242188,14.000274658203125,0.0020238157706866456,0.00012847273332930312,-1.3660103237085954,24.200185298919678,-3.022866515442729,0.001906752292188955,0.0005851836004039077,7.762254315971574e-05
False,4.605639457702637,-3.00401580799371,-0.001768827333086808,0.00013327283735241541,8.109620417295648e-05,20.668949127197266,13.621767044067383,0.0019236801783319294,0.0001281217115129354,-1.366006266158875,24.607197284698486,-3.025070495903492,0.00182354434425522,0.0005846864790557179,8.120940575968837e-05
False,5.024898052215576,-3.0043713375926018,-0.001841902716251582,0.00013316512610266044,8.464894024944388e-05,20.74912452697754,13.234315872192383,0.001840710573446965,0.00012795404017893584,-1.366003449589649,25.02645492553711,-3.027339171618223,0.0017505883034289482,0.0005842489583227761,8.476071470927547e-05
False,5.438784122467041,-3.0047204587608576,-0.0019041298074764367,0.00013307407379441186,8.802781971930216e-05,20.827810287475586,12.854072570800781,0.0017732381848608268,0.00012790114439508157,-1.365999562268,25.44033908843994,-3.029577635228634,0.0016880033157435817,0.0005838760721098378,8.813816737719598e-05
